5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.767677 stddev:0.693815 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.222222 stddev:0.8475219999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.363636 stddev:0.9261030000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.111111 stddev:0.897684 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.040404 stddev:0.8399040000000001 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.050505 stddev:0.7961239999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.20202 stddev:0.920911 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.050505 stddev:0.701711 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.282828 stddev:0.8766370000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.191919 stddev:0.9065059999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.30303 stddev:0.96875 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.030303 stddev:0.797148 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.222222 stddev:0.969802 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.080808 stddev:0.787231 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.30303 stddev:1.019552 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.1717169999999997 stddev:0.921575 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0101009999999997 stddev:0.8225969999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.040404 stddev:0.8399040000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.909091 stddev:0.726009 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.131313 stddev:0.9602870000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0 stddev:0.752101 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.111111 stddev:0.9628329999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.141414 stddev:0.95357 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.141414 stddev:0.840996 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.222222 stddev:0.798427 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.79766 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.242424 stddev:1.045345 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.939394 stddev:0.749656 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.7374430000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.030303 stddev:0.822101 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0 stddev:0.932034 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.959596 stddev:0.8399040000000001 med:3.0
